Time [microseconds],Accelerometer ID,X Acceleration,Y Acceleration,Z Acceleration
176942363.0,2,0.031989,-0.011996,0.991661
176942390.0,3,0.013184,-0.593262,0.818359
176942860.0,1,-0.071975,-0.043985,0.959672
176942929.0,2,0.031989,-0.011996,0.991661
176942956.0,3,0.010742,-0.59082,0.816895
176943426.0,1,-0.071975,-0.043985,0.959672
176943495.0,2,0.031989,-0.011996,0.991661
176943522.0,3,0.01123,-0.591309,0.819824
176943991.0,1,-0.071975,-0.043985,0.959672
176944060.0,2,0.031989,-0.011996,0.991661
176944087.0,3,0.01123,-0.59082,0.818359
176944557.0,1,-0.071975,-0.043985,0.959672
176944626.0,2,0.031989,-0.011996,0.991661
176944653.0,3,0.013184,-0.592285,0.820801
176945123.0,1,-0.071975,-0.043985,0.959672
176945192.0,2,0.031989,-0.011996,0.991661
176945219.0,3,0.01123,-0.593262,0.819824
176945688.0,1,-0.071975,-0.043985,0.959672
176945757.0,2,0.031989,-0.011996,0.991661
176945784.0,3,0.015625,-0.59082,0.816895
176946254.0,1,-0.071975,-0.043985,0.959672
176946323.0,2,0.031989,-0.011996,0.991661
176946350.0,3,0.009277,-0.59082,0.819336
176946820.0,1,-0.071975,-0.043985,0.959672
176946889.0,2,0.031989,-0.011996,0.991661
176946916.0,3,0.009766,-0.591797,0.820312
176947387.0,1,-0.071975,-0.043985,0.959672
176947456.0,2,0.031989,-0.011996,0.991661
176947483.0,3,0.010742,-0.59375,0.818359
176947953.0,1,-0.071975,-0.043985,0.959672
176948022.0,2,0.031989,-0.011996,0.991661
176948049.0,3,0.012695,-0.592285,0.817871
176948518.0,1,-0.071975,-0.043985,0.959672
176948587.0,2,0.023992,-0.007997,1.003657
176948614.0,3,0.009766,-0.592773,0.822754
176949084.0,1,-0.071975,-0.043985,0.959672
176949153.0,2,0.023992,-0.007997,1.003657
176949180.0,3,0.011719,-0.59082,0.820801
176949650.0,1,-0.071975,-0.043985,0.955674
176949719.0,2,0.023992,-0.007997,1.003657
176949746.0,3,0.01123,-0.587402,0.821289
176950216.0,1,-0.071975,-0.043985,0.955674
176950284.0,2,0.023992,-0.007997,1.003657
176950311.0,3,0.01123,-0.590332,0.819824
176950781.0,1,-0.071975,-0.043985,0.955674
176950850.0,2,0.023992,-0.007997,1.003657
176950877.0,3,0.010742,-0.588379,0.822754
176951347.0,1,-0.071975,-0.043985,0.955674
176951416.0,2,0.023992,-0.007997,1.003657
176951443.0,3,0.011719,-0.591309,0.818359
176951912.0,1,-0.071975,-0.043985,0.955674
176951981.0,2,0.023992,-0.007997,1.003657
176952008.0,3,0.012695,-0.592773,0.819824
176952478.0,1,-0.071975,-0.043985,0.955674
176952547.0,2,0.023992,-0.007997,1.003657
176952574.0,3,0.012207,-0.590332,0.822266
176953044.0,1,-0.071975,-0.043985,0.955674
176953113.0,2,0.023992,-0.007997,1.003657
176953140.0,3,0.01123,-0.591309,0.822266
176953609.0,1,-0.071975,-0.043985,0.955674
176953678.0,2,0.023992,-0.007997,1.003657
